data_hora,umidade_solo,fosforo,potassio,pH,irrigacao_ativa,temperatura,chuva_mm
2025-04-01 06:00:00,42.3,28,35,6.2,0,22.1,0.0
2025-04-01 08:00:00,41.0,28,35,6.2,0,24.5,0.0
2025-04-01 10:00:00,38.7,27,34,6.1,0,27.3,0.0
2025-04-01 12:00:00,35.2,27,34,6.1,1,30.0,0.0
2025-04-01 14:00:00,55.8,27,34,6.2,0,31.2,0.0
2025-04-01 16:00:00,53.1,28,35,6.3,0,29.8,0.0
2025-04-01 18:00:00,50.4,28,35,6.3,0,26.7,2.5
2025-04-01 20:00:00,62.0,29,36,6.4,0,23.1,8.3
2025-04-02 06:00:00,60.5,29,36,6.4,0,21.8,0.0
2025-04-02 08:00:00,58.2,29,36,6.3,0,23.9,0.0
2025-04-02 10:00:00,54.7,28,35,6.3,0,26.5,0.0
2025-04-02 12:00:00,49.3,28,35,6.2,0,29.4,0.0
2025-04-02 14:00:00,44.1,27,34,6.2,0,32.1,0.0
2025-04-02 16:00:00,39.8,27,34,6.1,1,30.5,0.0
2025-04-02 18:00:00,58.6,28,35,6.2,0,27.3,0.0
2025-04-02 20:00:00,57.0,28,35,6.2,0,22.8,0.0
2025-04-03 06:00:00,55.3,30,37,6.5,0,20.5,0.0
2025-04-03 08:00:00,52.8,30,37,6.5,0,22.7,0.0
2025-04-03 10:00:00,48.4,29,36,6.4,0,25.8,0.0
2025-04-03 12:00:00,43.2,29,36,6.4,1,28.9,0.0
2025-04-03 14:00:00,61.5,29,36,6.5,0,30.7,0.0
2025-04-03 16:00:00,59.0,30,37,6.5,0,29.2,0.0
2025-04-03 18:00:00,56.4,30,37,6.6,0,25.4,1.2
2025-04-03 20:00:00,59.8,31,38,6.6,0,21.3,4.7
2025-04-04 06:00:00,58.1,31,38,6.6,0,20.2,0.0
2025-04-04 08:00:00,55.6,30,37,6.5,0,22.4,0.0
2025-04-04 10:00:00,51.2,30,37,6.5,0,25.1,0.0
2025-04-04 12:00:00,46.7,29,36,6.4,0,28.3,0.0
2025-04-04 14:00:00,41.5,29,36,6.3,1,31.5,0.0
2025-04-04 16:00:00,60.3,30,37,6.4,0,30.1,0.0
